2300;Aktiebolag;1967;Jönköpings Län;Bredaryd;-21452;1505;4163;43;12943;1109;1355;5616;5590;0;20;5476;14;20339;-832;2019
9917;Aktiebolag;1967;Uppsala Län;Uppsala;-15067551;3497924;8639;0;10023040;0;1213337;5344206;2777360;-9218;208113;1685863;1753;18745229;375077;2019
3244;Aktiebolag;1967;Västernorrlands Län;Timrå;-1040453;74456;18646;47902;2978463;697526;45352;2010392;261263;-843;483074;25440;209;1276894;-12733;2019
1121;Aktiebolag;1967;Västra Götalands Län;Lidköping;0;43744;12443;2;98074;5925;6366;38716;20956;-894;12460;22791;36;111583;3125;2019
8602;Aktiebolag;1967;Stockholms Län;Kista;-44;0;0;0;157035;0;2;105051;51984;-791;157033;0;0;1;-55763;2019
6329;Aktiebolag;1968;Stockholms Län;Solna;-73208;0;44146;0;740336;0;767;23909;714758;-85162;69915;2787;28;690384;340049;2019
5369;Aktiebolag;1968;Uppsala Län;Uppsala;-4054;29;15;624;6051;0;428;3032;3019;0;0;179;2;443;-3644;2019
5632;Aktiebolag;1968;Stockholms Län;Saltsjö-boo;-2770;26;791;9;2790;264;861;1709;817;0;821;144;3;3105;9;2019
6382;Aktiebolag;1968;Västra Götalands Län;Askim;0;0;0;411;46969;0;13;908;46061;-3153;0;0;0;16713;12740;2019
9004;Aktiebolag;1969;Stockholms Län;Spånga;-808324;10355;113894;155700;625439;1519;49685;174044;449554;-17949;257538;43005;160;892639;194736;2019
4655;Aktiebolag;1969;Östergötlands Län;Norrköping;-49220;1281;4226;5832;25493;4000;4174;8438;10622;-691;948;11719;10;52067;5006;2019
6711;Aktiebolag;1969;Södermanlands Län;Strängnäs;-641000;1473000;43000;0;6280000;0;53000;1669000;3826000;-230000;26000;942000;264;3667000;756000;2019
8341;Aktiebolag;1969;Hallands Län;Halmstad;-169;0;216;1344;2691;0;14;91;2600;0;1124;0;0;362;2479;2019
9257;Aktiebolag;1969;Stockholms Län;Solna;-192326;9848;0;0;1009950;9933;110434;202217;761342;-11478;587845;0;123;242941;38500;2019
6491;Aktiebolag;1969;Västra Götalands Län;Göteborg;-41;0;0;255;4693;0;0;1806;2587;1;4421;0;0;16;-90;2019
9139;Aktiebolag;1970;Stockholms Län;Sollentuna;-85594;18255;11432;6305;64721;2467;2053;10571;44407;-1237;0;25182;43;89129;4250;2019
3778;Aktiebolag;1970;Västra Götalands Län;Askim;-482;186;7;1969;5088;0;0;781;3480;-83;2050;480;0;880;2299;2019
6090;Aktiebolag;1970;Skåne Län;Lund;-7444;47;474;2313;5789;0;919;1678;2481;-99;0;2825;3;7687;320;2019
3317;Aktiebolag;1970;Skåne Län;Lund;-751;0;0;90;152;0;0;70;82;0;0;0;1;761;10;2019
9799;Aktiebolag;1970;Skåne Län;Malmö;-628517;13895;65066;3;241165;5000;84155;180017;56148;-480;9886;107449;73;664256;53;2019
9372;Aktiebolag;1970;Östergötlands Län;Söderköping;-685;0;153;256;470;0;14;69;401;0;0;16;1;645;-43;2019
7373;Aktiebolag;1970;Hallands Län;Kungsbacka;-61549;330;10631;378;21694;2757;14992;18159;778;0;0;9026;18;56575;-4390;2019
7536;Aktiebolag;1970;Stockholms Län;Solna;-547813;1217;60576;0;178955;0;4072;104153;74802;-3802;0;0;50;562510;10842;2019
8258;Aktiebolag;1970;Värmlands Län;Kristinehamn;-7550;1597;1098;1179;5018;0;341;2985;533;0;0;183;6;4982;-237;2019
2142;Aktiebolag;1970;Stockholms Län;Kista;-42881;2041;29;0;18521;0;1512;16196;2325;1032;1032;8574;33;35152;-3809;2019
7202;Aktiebolag;1970;Västernorrlands Län;Sundsvall;-3396;0;326;200;892;0;163;282;610;0;50;272;2;3357;-35;2019
9842;Aktiebolag;1970;Östergötlands Län;Tranås;0;77;2970;414;33526;1730;839;20441;10654;-355;6089;6957;0;24290;3041;2019
5988;Aktiebolag;1970;Västra Götalands Län;Västra Frölunda;-15859;105;1885;507;8174;2469;883;2930;2158;-188;1500;2782;3;16936;664;2019
5163;Aktiebolag;1970;Stockholms Län;Stockholm;-1271;848;31;1006;2832;1829;0;350;653;0;858;0;2;1609;-283;2019
2380;Aktiebolag;1970;Gävleborgs Län;Ockelbo;-1521;168;141;340;1034;0;1;399;635;0;0;0;2;1494;-27;2019
8451;Aktiebolag;1970;Skåne Län;Skurup;-11560;459;1236;364;4749;0;187;1189;1702;-81;0;174;12;11016;173;2019
6963;Aktiebolag;1970;Jönköpings Län;Huskvarna;-35;0;0;748;884;0;0;26;859;0;9;0;0;0;671;2019
2533;Aktiebolag;1971;Stockholms Län;Bromma;-773;0;79;308;805;0;0;280;525;-3;260;0;2;711;3;2019
